ANNO,MES,ENERGIA_GENERADA,ENERGIA_DEPOSITADA,ENERGIA_RETIRADA,IMPORTE_POR_ENERGIA_RETIRADA,EMPRESA,CODIGO_TARIFA,CODIGO_TARIFA1,TOTAL_CONSUMO_KWH,TOTAL_IMPORTE_ENE,Suma de DISTRITO,Recuento de DISTRITO,Provincia1,CONSUMO_NATURAL,SECTOR,Data_Check
2018,8,252,81,81,2257,ICE,1,Residencial,690,83548,20113,1,Alajuela,942,Residencial,TRUE
2018,9,295,112,112,3120,ICE,1,Residencial,804,99396,20113,1,Alajuela,1099,Residencial,TRUE
2018,10,302,158,158,4402,ICE,1,Residencial,501,56754,20113,1,Alajuela,803,Residencial,TRUE
2018,1,480,312,235,6465,ICE,4,Comercios y servicios monómica,558,64828,20113,1,Alajuela,961,Servicios,TRUE
2018,2,536,384,262,7299,ICE,4,Comercios y servicios monómica,432,49952,20113,1,Alajuela,846,Servicios,TRUE
2018,3,517,385,254,7076,ICE,4,Comercios y servicios monómica,355,41049,20113,1,Alajuela,741,Servicios,TRUE
2018,4,540,324,264,7355,ICE,4,Comercios y servicios monómica,591,68794,20113,1,Alajuela,1071,Servicios,TRUE
2018,5,440,226,216,6018,ICE,4,Comercios y servicios monómica,612,71463,20113,1,Alajuela,1042,Servicios,TRUE
2018,6,467,245,229,6380,ICE,4,Comercios y servicios monómica,183,21369,70301,1,Limón,634,Servicios,TRUE
2018,7,460,215,225,6023,ICE,4,Comercios y servicios monómica,610,70974,20113,1,Alajuela,1080,Servicios,TRUE
2018,8,452,223,222,6185,ICE,4,Comercios y servicios monómica,528,61338,20113,1,Alajuela,979,Servicios,TRUE
2018,9,511,226,250,6965,ICE,4,Comercios y servicios monómica,642,74581,20113,1,Alajuela,1177,Servicios,TRUE
2018,10,490,226,240,6686,ICE,4,Comercios y servicios monómica,583,67115,20113,1,Alajuela,1087,Servicios,TRUE
2018,1,705,269,269,7400,ICE,1,Residencial,701,85084,20113,1,Alajuela,1406,Residencial,TRUE
2018,2,788,246,246,6854,ICE,1,Residencial,984,123848,20113,1,Alajuela,1772,Residencial,TRUE
2018,3,900,384,384,10698,ICE,1,Residencial,561,65313,20113,1,Alajuela,1461,Residencial,TRUE
2018,4,1136,500,500,13930,ICE,1,Residencial,462,51957,20113,1,Alajuela,1598,Residencial,TRUE
2018,5,1013,352,352,9807,ICE,1,Residencial,732,89850,20113,1,Alajuela,1745,Residencial,TRUE
2018,6,985,318,318,8859,ICE,1,Residencial,252,22774,20110,1,Alajuela,1237,Residencial,TRUE
2018,7,974,296,296,7924,ICE,1,Residencial,770,94817,20113,1,Alajuela,1744,Residencial,TRUE
2018,8,870,409,409,11395,ICE,1,Residencial,499,56995,20113,1,Alajuela,1369,Residencial,TRUE
2018,9,876,400,400,11144,ICE,1,Residencial,597,70619,20113,1,Alajuela,1473,Residencial,TRUE
2018,10,944,397,397,11060,ICE,1,Residencial,897,111307,20113,1,Alajuela,1841,Residencial,TRUE
2018,1,546,260,260,7062,ICE,1,Residencial,455,51120,61102,1,Puntarenas,1001,Residencial,TRUE
2018,2,653,221,221,6157,ICE,1,Residencial,638,75968,61102,1,Puntarenas,1291,Residencial,TRUE
2018,3,727,275,275,7662,ICE,1,Residencial,403,43449,61102,1,Puntarenas,1130,Residencial,TRUE
2018,6,715,256,256,7132,ICE,1,Residencial,71,5505,20104,1,Alajuela,786,Residencial,TRUE
2018,7,795,321,321,8593,ICE,1,Residencial,124,9597,61102,1,Puntarenas,919,Residencial,TRUE
2018,8,820,285,285,7940,ICE,1,Residencial,74,5708,61102,1,Puntarenas,894,Residencial,TRUE
